t,y,y_diff
0.004270851128546369,-315,-94.0
0.00429168454868562,-469,-154.0
0.00431251796882487,-544,-75.0
0.0043333513889641205,-570,-26.0
0.004354184809103372,-653,-83.0
0.004375018229242622,-729,-76.0
0.004395851649381872,-702,27.0
0.004416685069521123,-714,-12.0
0.0044375184896603736,-877,-163.0
0.004458351909799625,-1025,-148.0
0.004479185329938875,-1065,-40.0
0.004500018750078125,-1154,-89.0
0.004520852170217376,-1346,-192.0
0.004541685590356627,-1519,-173.0
0.004562519010495877,-1600,-81.0
0.004583352430635128,-1556,44.0
0.004604185850774378,-1403,153.0
0.004625019270913629,-1307,96.0
0.00464585269105288,-1354,-47.0
0.00466668611119213,-1418,-64.0
0.004687519531331381,-1426,-8.0
0.004708352951470631,-1443,-17.0
0.0047291863716098816,-1444,-1.0
0.004750019791749133,-1371,73.0
0.004770853211888383,-1310,61.0
0.004791686632027633,-1324,-14.0
0.004812520052166884,-1339,-15.0
0.004833353472306135,-1314,25.0
0.004854186892445386,-1283,31.0
0.004875020312584636,-1280,3.0
0.004895853732723886,-1355,-75.0
0.004916687152863137,-1487,-132.0
0.004937520573002388,-1580,-93.0
0.004958353993141638,-1683,-103.0
0.004979187413280889,-1901,-218.0
0.005000020833420139,-2136,-235.0
0.00502085425355939,-2286,-150.0
0.005041687673698641,-2441,-155.0
0.005062521093837891,-2608,-167.0
0.005083354513977142,-2714,-106.0
0.005104187934116392,-2854,-140.0
0.005125021354255643,-3049,-195.0
0.005145854774394894,-3113,-64.0
0.005166688194534144,-3023,90.0
0.005187521614673394,-2945,78.0
0.005208355034812645,-2933,12.0
0.005229188454951896,-3007,-74.0
0.005250021875091147,-3189,-182.0
0.005270855295230397,-3330,-141.0
0.005291688715369647,-3334,-4.0
0.0053125221355088985,-3351,-17.0
0.005333355555648149,-3453,-102.0
0.005354188975787399,-3534,-81.0
0.00537502239592665,-3625,-91.0
0.0053958558160659,-3832,-207.0
0.005416689236205151,-4047,-215.0
0.005437522656344402,-4102,-55.0
0.005458356076483652,-4067,35.0
0.005479189496622903,-4103,-36.0
0.005500022916762153,-4225,-122.0
0.005520856336901404,-4341,-116.0
0.005541689757040655,-4394,-53.0
0.005562523177179905,-4383,11.0
0.005583356597319155,-4373,10.0
0.0056041900174584065,-4443,-70.0
0.005625023437597657,-4558,-115.0
0.005645856857736908,-4613,-55.0
0.005666690277876158,-4590,23.0
0.005687523698015408,-4530,60.0
0.0057083571181546595,-4449,81.0
0.00572919053829391,-4369,80.0
0.00575002395843316,-4309,60.0
0.005770857378572411,-4260,49.0
0.005791690798711661,-4217,43.0
0.005812524218850912,-4148,69.0
0.005833357638990163,-4032,116.0
0.005854191059129413,-3923,109.0
0.005875024479268664,-3843,80.0
0.0058958578994079145,-3771,72.0
0.005916691319547165,-3776,-5.0
0.005937524739686416,-3871,-95.0
0.005958358159825666,-3947,-76.0
0.005979191579964916,-3979,-32.0
0.0060000250001041675,-3986,-7.0
0.006020858420243418,-3912,74.0
0.006041691840382668,-3814,98.0
0.006062525260521919,-3785,29.0
0.0060833586806611694,-3707,78.0
0.0061041921008004206,-3558,149.0
0.006125025520939671,-3512,46.0
0.006145858941078921,-3545,-33.0
0.006166692361218172,-3549,-4.0
0.0061875257813574225,-3571,-22.0
0.006208359201496673,-3550,21.0
0.006229192621635924,-3384,166.0
0.006250026041775174,-3213,171.0
0.006270859461914425,-3113,100.0
0.0062916928820536755,-2983,130.0
0.006312526302192926,-2839,144.0
0.006333359722332177,-2713,126.0
0.006354193142471427,-2569,144.0
0.0063750265626106774,-2500,69.0
0.006395859982749929,-2500,0.0
0.006416693402889179,-2395,105.0
0.006437526823028429,-2262,133.0
0.00645836024316768,-2236,26.0
0.0064791936633069305,-2161,75.0
0.006500027083446182,-2008,153.0
0.006520860503585432,-1965,43.0
0.006541693923724682,-1980,-15.0
0.006562527343863933,-1917,63.0
0.0065833607640031835,-1843,74.0
0.006604194184142434,-1775,68.0
0.006625027604281685,-1679,96.0
0.006645861024420935,-1643,36.0
0.006666694444560186,-1638,5.0
0.006687527864699437,-1532,106.0
0.006708361284838687,-1398,134.0
0.006729194704977938,-1338,60.0
0.006750028125117188,-1238,100.0
0.0067708615452564385,-1032,206.0
0.00679169496539569,-857,175.0
0.00681252838553494,-816,41.0
0.00683336180567419,-842,-26.0
0.006854195225813441,-838,4.0
0.0068750286459526916,-807,31.0
0.006895862066091943,-818,-11.0
0.006916695486231193,-885,-67.0
0.006937528906370443,-916,-31.0
0.006958362326509694,-818,98.0
0.006979195746648945,-654,164.0
0.007000029166788195,-578,76.0
0.007020862586927446,-596,-18.0
0.007041696007066696,-565,31.0
0.0070625294272059465,-431,134.0
0.007083362847345198,-270,161.0
0.007104196267484448,-161,109.0
0.007125029687623699,-122,39.0
0.007145863107762949,-85,37.0
0.0071666965279021996,-39,46.0
0.007187529948041451,-82,-43.0
0.007208363368180701,-190,-108.0
0.007229196788319951,-245,-55.0
0.007250030208459202,-314,-69.0
0.007270863628598453,-454,-140.0
0.007291697048737704,-525,-71.0
0.007312530468876954,-543,-18.0
0.007333363889016204,-666,-123.0
0.007354197309155455,-839,-173.0
0.007375030729294706,-973,-134.0
0.007395864149433956,-1128,-155.0
0.007416697569573207,-1254,-126.0
